feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,-0.03840477823895414,5.620374264199704e-11,-0.03840477823895415,5.620374264200603e-11,0.03840477823895414,percentile_rank
has_artists,-0.017422049913568653,0.002957925258630756,-0.017422049913568657,0.0029579252586306322,0.017422049913568653,percentile_rank
has_camera_composition,-0.016917741958942845,0.0039013107602257147,-0.01691774195894285,0.00390131076022568,0.016917741958942845,percentile_rank
has_lighting_color,0.04151773146597414,1.3889883648316588e-12,0.04151773146597414,1.3889883648317446e-12,0.04151773146597414,percentile_rank
has_quality_boosters,0.004315179612048791,0.4616781769042797,0.004315179612048793,0.461678176904273,0.004315179612048791,percentile_rank
has_style_codes,0.015120750015835646,0.00989596814809329,0.015120750015835656,0.009895968148092916,0.015120750015835646,percentile_rank
has_style_modifiers,0.05044783773033146,7.250849475514655e-18,0.050447837730331485,7.25084947551512e-18,0.05044783773033146,percentile_rank
has_subjects,0.01651038170983922,0.004854534148465649,0.01651038170983922,0.004854534148465328,0.01651038170983922,percentile_rank
actions_verbs_count,-0.039787778595422346,1.1237988048571197e-11,-0.039787778595422346,1.1237988048571944e-11,0.039787778595422346,percentile_rank
artists_count,-0.017049553988800356,0.0036314105959922164,-0.01704955398880036,0.003631410595992483,0.017049553988800356,percentile_rank
camera_composition_count,-0.01614312166031851,0.005889490489303309,-0.016143121660318515,0.005889490489303498,0.01614312166031851,percentile_rank
lighting_color_count,0.04389021842732805,6.866501902661322e-14,0.04389021842732805,6.866501902661632e-14,0.04389021842732805,percentile_rank
quality_boosters_count,0.005764938448179168,0.3254151580260739,0.005764938448179171,0.32541515802606746,0.005764938448179168,percentile_rank
style_codes_count,0.029382739509836518,5.353585653497581e-07,0.02938273950983652,5.353585653497898e-07,0.029382739509836518,percentile_rank
style_modifiers_count,0.049396193235974134,3.4230217442588597e-17,0.049396193235974134,3.4230217442597786e-17,0.049396193235974134,percentile_rank
subjects_count,-0.010943605067535908,0.06192744372364939,-0.010943605067535911,0.061927443723646634,0.010943605067535908,percentile_rank
has_negative,-0.04852329352909708,1.2114740290474814e-16,-0.04852329352909709,1.2114740290474324e-16,0.04852329352909708,percentile_rank
has_weights,0.017955270358997837,0.002190897868268363,0.017955270358997844,0.0021908978682684144,0.017955270358997837,percentile_rank
negative_word_count,-0.0490376051299131,5.768441582311895e-17,-0.049037605129913085,5.768441582313482e-17,0.0490376051299131,percentile_rank
prompt_word_count,0.044866305778624216,1.901114173651638e-14,0.04486630577862422,1.901114173651146e-14,0.044866305778624216,percentile_rank
