,has_actions_verbs,has_artists,has_camera_composition,has_lighting_color,has_quality_boosters,has_style_codes,has_style_modifiers,has_subjects,has_negative,has_negative_terms,has_weights
has_actions_verbs,1.0,0.003690126094526336,0.19908243492796443,0.006467862574094887,0.08677935201833308,0.10940972413192683,-0.04563444207392614,0.3425846040801509,0.0916238676187867,0.09146879804091664,
has_artists,0.003690126094526336,1.0,0.10276121731084406,0.026494283680234623,0.14240226500246472,0.12896076355642286,0.12051816127103306,0.15830590428203148,0.1092636122823607,0.10932284310472977,
has_camera_composition,0.19908243492796443,0.10276121731084406,1.0,0.17879118179554357,0.3285449669381962,0.21873753674336568,0.09293451508024365,0.33512733304797065,0.16833016869519057,0.16844532491011102,
has_lighting_color,0.006467862574094887,0.026494283680234623,0.17879118179554357,1.0,0.21701985741199678,0.08270573120187166,0.2218265699633335,0.33744649372371066,-0.12573986457280314,-0.1256183578500455,
has_quality_boosters,0.08677935201833308,0.14240226500246472,0.3285449669381962,0.21701985741199678,1.0,0.3097662248043318,0.19006955162563635,0.3922939256000789,0.22431818338001294,0.2243151455365515,
has_style_codes,0.10940972413192683,0.12896076355642286,0.21873753674336568,0.08270573120187166,0.3097662248043318,1.0,0.1359208305307462,0.33161491231184953,0.24351974845490032,0.24337243848066512,
has_style_modifiers,-0.04563444207392614,0.12051816127103306,0.09293451508024365,0.2218265699633335,0.19006955162563635,0.1359208305307462,1.0,0.30054665985678153,-0.11300726467592472,-0.11302765496188287,
has_subjects,0.3425846040801509,0.15830590428203148,0.33512733304797065,0.33744649372371066,0.3922939256000789,0.33161491231184953,0.30054665985678153,1.0,-0.08265568363473814,-0.08271018588128753,
has_negative,0.0916238676187867,0.1092636122823607,0.16833016869519057,-0.12573986457280314,0.22431818338001294,0.24351974845490032,-0.11300726467592472,-0.08265568363473814,1.0,0.9998606365984081,
has_negative_terms,0.09146879804091664,0.10932284310472977,0.16844532491011102,-0.1256183578500455,0.2243151455365515,0.24337243848066512,-0.11302765496188287,-0.08271018588128753,0.9998606365984081,1.0,
has_weights,,,,,,,,,,,
